experiment,objective,tire_set,simulation_id,final_gap,winner,A_wins,B_wins,tie,start_tire_A,start_tire_B,n_pits_A,n_pits_B,had_VSC,had_SC,mean_gap_race,std_gap_race
EXP_SM_win,win,"[1, 2]",123,-1.599999999999997,A,1,0,0,2,1,1,1,1,0,0.2666666666666713,1.627540748764495
EXP_SM_win,win,"[1, 2]",124,-0.7999999999999963,A,1,0,0,2,2,1,2,0,0,-0.4666666666666626,2.178976022799819
EXP_SM_win,win,"[1, 2]",125,-0.19999999999999574,A,1,0,0,2,1,1,1,0,0,1.371428571428577,1.0443238218569761
EXP_SM_win,win,"[1, 2]",126,0.4000000000000048,B,0,1,0,2,2,1,1,0,1,-0.8285714285714251,1.6180949578183017
EXP_SM_win,win,"[1, 2]",127,-1.1999999999999966,A,1,0,0,2,1,1,1,0,1,0.5238095238095287,1.186392997564974
EXP_SM_win,win,"[1, 2]",128,-5.0,A,1,0,0,2,2,1,3,0,0,-2.104761904761902,1.7594577602140182
EXP_SM_win,win,"[1, 2]",129,0.600000000000005,B,0,1,0,2,2,1,1,1,1,-0.39047619047618637,1.2731306602248404
EXP_SM_win,win,"[1, 2]",130,-3.799999999999999,A,1,0,0,2,1,1,2,1,0,-0.5333333333333294,1.4293965870865253
EXP_SM_win,win,"[1, 2]",131,-1.3999999999999968,A,1,0,0,2,1,1,1,0,0,0.457142857142862,0.9484681527255913
EXP_SM_win,win,"[1, 2]",132,1.6000000000000059,B,0,1,0,1,1,2,1,0,0,1.8000000000000063,1.8246982790378843
EXP_SM_win,win,"[1, 2]",133,-5.0,A,1,0,0,1,1,2,3,1,0,-1.5238095238095208,1.8314461529998292
EXP_SM_win,win,"[1, 2]",134,0.20000000000000462,B,0,1,0,2,1,1,1,1,0,0.8761904761904815,0.9491373335848385
EXP_SM_win,win,"[1, 2]",135,4.440892098500626e-15,B,0,1,0,2,1,2,1,1,1,0.9619047619047673,1.1457898878591064
EXP_SM_win,win,"[1, 2]",136,-0.9999999999999964,A,1,0,0,2,1,1,3,1,1,-0.9047619047619012,0.6693822244116417
EXP_SM_win,win,"[1, 2]",137,-0.7999999999999963,A,1,0,0,1,1,2,3,0,1,0.5428571428571477,1.9781115160849843
EXP_SM_win,win,"[1, 2]",138,-5.0,A,1,0,0,1,1,2,3,0,0,-1.638095238095235,1.744235728519513
EXP_SM_win,win,"[1, 2]",139,0.8000000000000052,B,0,1,0,1,2,1,2,1,0,-1.0761904761904728,1.4908945099869746
EXP_SM_win,win,"[1, 2]",140,0.20000000000000462,B,0,1,0,2,1,1,1,0,1,1.0380952380952433,0.9574152656656915
EXP_SM_win,win,"[1, 2]",141,-0.7999999999999963,A,1,0,0,1,1,2,2,1,0,-0.885714285714282,1.5486663123277333
EXP_SM_win,win,"[1, 2]",142,-3.3999999999999986,A,1,0,0,1,1,2,3,0,0,-1.1142857142857108,1.7701992662344193
EXP_SM_win,win,"[1, 2]",143,-0.9999999999999964,A,1,0,0,2,1,1,1,0,0,0.7333333333333385,0.9958644645462722
EXP_SM_win,win,"[1, 2]",144,-3.1999999999999984,A,1,0,0,1,1,2,3,0,0,-0.9238095238095203,1.8345635946367314
EXP_SM_win,win,"[1, 2]",145,1.2000000000000055,B,0,1,0,1,2,1,2,1,0,-1.0380952380952346,1.547494500482941
EXP_SM_win,win,"[1, 2]",146,-0.9999999999999964,A,1,0,0,2,2,2,2,0,0,-1.152380952380949,1.1998488188970389
EXP_SM_win,win,"[1, 2]",147,-0.7999999999999963,A,1,0,0,2,2,1,2,0,1,-0.48571428571428177,2.1818047824779248
EXP_SM_win,win,"[1, 2]",148,0.8000000000000052,B,0,1,0,1,2,2,1,1,0,-0.18095238095237667,0.8460659929338221
EXP_SM_win,win,"[1, 2]",149,-0.9999999999999964,A,1,0,0,2,2,2,2,1,0,-0.9047619047619012,0.8543871044573648
EXP_SM_win,win,"[1, 2]",150,-0.7999999999999963,A,1,0,0,2,2,1,2,0,0,-0.48571428571428177,2.1818047824779248
EXP_SM_win,win,"[1, 2]",151,0.600000000000005,B,0,1,0,2,2,2,1,0,0,0.21904761904762377,2.1864559380790194
EXP_SM_win,win,"[1, 2]",152,0.20000000000000462,B,0,1,0,1,1,2,2,0,1,0.4285714285714334,0.37179469135129817
EXP_SM_win,win,"[1, 2]",153,-5.0,A,1,0,0,1,1,2,3,0,0,-1.7714285714285685,1.6690866784370604
EXP_SM_win,win,"[1, 2]",154,-5.0,A,1,0,0,2,2,1,1,1,0,-1.4380952380952348,2.1827191845376634
EXP_SM_win,win,"[1, 2]",155,-2.3999999999999977,A,1,0,0,2,1,1,1,0,1,-0.28571428571428154,1.118794297568642
EXP_SM_win,win,"[1, 2]",156,1.4000000000000057,B,0,1,0,1,1,2,1,0,0,1.7238095238095297,1.8796921637293413
EXP_SM_win,win,"[1, 2]",157,-0.19999999999999574,A,1,0,0,2,1,1,1,0,0,0.9428571428571482,1.1565842272960212
EXP_SM_win,win,"[1, 2]",158,0.8000000000000052,B,0,1,0,2,1,1,2,1,1,0.7047619047619097,0.6890132284832737
EXP_SM_win,win,"[1, 2]",159,-3.3999999999999986,A,1,0,0,1,1,3,3,0,1,-0.438095238095234,1.4548690631564438
EXP_SM_win,win,"[1, 2]",160,-5.0,A,1,0,0,1,1,2,3,0,0,-1.6285714285714252,1.7504129736240237
EXP_SM_win,win,"[1, 2]",161,-0.7999999999999963,A,1,0,0,2,2,1,2,1,0,-1.6190476190476164,1.5588820926179157
EXP_SM_win,win,"[1, 2]",162,-0.7999999999999963,A,1,0,0,2,2,1,2,0,0,-0.438095238095234,2.1792257669435413
EXP_SM_win,win,"[1, 2]",163,-0.9999999999999964,A,1,0,0,2,1,1,1,0,0,0.9809523809523862,1.0381389243756622
EXP_SM_win,win,"[1, 2]",164,-0.7999999999999963,A,1,0,0,1,2,2,1,1,1,-1.2095238095238057,1.1455523774289453
EXP_SM_win,win,"[1, 2]",165,-1.1999999999999966,A,1,0,0,2,1,2,1,1,1,0.39047619047619536,1.208661109659998
EXP_SM_win,win,"[1, 2]",166,-5.0,A,1,0,0,1,1,2,3,0,0,-1.6857142857142826,1.7177742282732424
EXP_SM_win,win,"[1, 2]",167,-0.9999999999999964,A,1,0,0,2,1,1,1,0,0,0.9809523809523862,1.0381389243756622
EXP_SM_win,win,"[1, 2]",168,-0.3999999999999959,A,1,0,0,1,2,1,3,0,0,-0.6761904761904722,1.9542151662751415
EXP_SM_win,win,"[1, 2]",169,2.6000000000000068,B,0,1,0,2,1,2,1,1,0,1.1904761904761958,0.9591190213170395
EXP_SM_win,win,"[1, 2]",170,0.8000000000000052,B,0,1,0,2,1,1,1,1,0,1.4857142857142915,0.953332857618454
EXP_SM_win,win,"[1, 2]",171,-1.599999999999997,A,1,0,0,2,1,1,1,0,0,0.761904761904767,1.0842931383981578
EXP_SM_win,win,"[1, 2]",172,-5.0,A,1,0,0,2,2,1,2,1,0,-2.485714285714284,1.6137167138791944
EXP_SM_win,win,"[1, 2]",173,-0.9999999999999964,A,1,0,0,2,1,1,1,0,0,0.9142857142857195,1.1977302797914289
EXP_SM_win,win,"[1, 2]",174,0.8000000000000052,B,0,1,0,2,1,1,1,1,0,1.3809523809523863,1.0545227074793464
EXP_SM_win,win,"[1, 2]",175,-1.9999999999999973,A,1,0,0,2,1,1,1,1,0,0.15238095238095686,1.7181438067256112
EXP_SM_win,win,"[1, 2]",176,-0.7999999999999963,A,1,0,0,2,1,2,3,1,1,-0.8380952380952346,0.9291451219246504
EXP_SM_win,win,"[1, 2]",177,-4.8,A,1,0,0,2,2,1,3,0,0,-2.0190476190476163,1.772708191176925
EXP_SM_win,win,"[1, 2]",178,-5.0,A,1,0,0,2,2,1,2,1,0,-2.3333333333333313,1.5248210928103565
EXP_SM_win,win,"[1, 2]",179,-2.1999999999999975,A,1,0,0,2,1,1,1,1,1,-0.37142857142856733,1.1385633625812168
EXP_SM_win,win,"[1, 2]",180,-5.0,A,1,0,0,2,2,1,3,0,0,-2.066666666666664,1.7892092782203668
EXP_SM_win,win,"[1, 2]",181,0.600000000000005,B,0,1,0,2,2,2,1,0,0,0.0761904761904807,2.1930419755617927
EXP_SM_win,win,"[1, 2]",182,-0.5999999999999961,A,1,0,0,1,2,1,3,0,0,-0.7333333333333295,1.8966972129099373
EXP_SM_win,win,"[1, 2]",183,-3.5999999999999988,A,1,0,0,2,1,1,2,0,0,-0.419047619047615,1.3964645998681138
EXP_SM_win,win,"[1, 2]",184,-1.599999999999997,A,1,0,0,2,1,1,1,0,0,0.514285714285719,1.0245954901166356
EXP_SM_win,win,"[1, 2]",185,-0.9999999999999964,A,1,0,0,2,1,1,1,1,0,0.3714285714285762,1.4803934023935477
EXP_SM_win,win,"[1, 2]",186,-0.7999999999999963,A,1,0,0,2,1,1,1,1,0,0.8095238095238146,0.9961376659042205
EXP_SM_win,win,"[1, 2]",187,-5.0,A,1,0,0,2,2,1,1,0,0,-1.4190476190476158,2.1899378220394983
EXP_SM_win,win,"[1, 2]",188,0.600000000000005,B,0,1,0,2,2,2,1,0,1,0.9428571428571483,1.6643521343786865
EXP_SM_win,win,"[1, 2]",189,-0.9999999999999964,A,1,0,0,2,2,2,2,0,0,-1.1619047619047587,1.2009822132921009
EXP_SM_win,win,"[1, 2]",190,-1.599999999999997,A,1,0,0,2,1,1,1,0,0,0.8952380952381004,1.162295016428885
EXP_SM_win,win,"[1, 2]",191,0.600000000000005,B,0,1,0,1,1,2,2,1,0,-0.6761904761904722,1.6393682760963768
EXP_SM_win,win,"[1, 2]",192,-0.7999999999999963,A,1,0,0,2,1,1,1,0,0,0.8571428571428622,0.9424241429983232
EXP_SM_win,win,"[1, 2]",193,-3.3999999999999986,A,1,0,0,1,1,2,3,0,0,-0.9999999999999964,1.8184242262647825
EXP_SM_win,win,"[1, 2]",194,-0.9999999999999964,A,1,0,0,2,1,1,1,0,0,0.9809523809523862,1.0381389243756622
EXP_SM_win,win,"[1, 2]",195,-0.5999999999999961,A,1,0,0,1,2,1,3,0,0,-0.7047619047619008,1.893969424622769
EXP_SM_win,win,"[1, 2]",196,-4.199999999999999,A,1,0,0,1,1,2,3,0,0,-1.2952380952380917,1.8001259719084204
EXP_SM_win,win,"[1, 2]",197,-1.7999999999999972,A,1,0,0,2,1,1,1,1,0,-0.2190476190476148,0.6758550475889595
